Basque (eu),Spanish (es)
"Henry Jeckyll, medikua idealista eta filantropoa.",- El Dr. Henry Jekyll - También idealista y filántropo.
Jeckyll progresista den bezain kontserbadorea da Richard Lanyon medikua.,- El Dr. Richard Lanyon - Tan conservador en su profesión como progresista el Dr. Jekyll.
"""Jeckyll Medikuak sentitzen du afarira ez garaiz iritsi izana.","""El Dr. Jekyll siente no poder llegar a tiempo para la cena. Se unirá a nosotros más tarde."""
"Bere teoria irudikatzeko, Sir George-ek Jeckyll medikua leku horretara eraman du.",Sir George lleva al Dr. Jekyll a ese lugar para ilustrar todo lo que le dijo durante la cena.
"Menperatzen duen poderearen kontrako oldar batean, bere arimari buruz galdekatzen da Jeckyll medikua.","En una repentina repulsión contra el poder que sentía que lo arrastraba hacia abajo, el Dr. Jekyll entregó su alma como garantía."
"Garai batez, Hyde-en gutizia ilunei aurre egiten lortu zuen Jeckyll medikuak bainan egun batez luzaroegi preso egondako deabrua inoiz baino basatiago askatu zen.","Durante algún tiempo, el Dr. Jekyll renunció a las oscuras indulgencias de Hyde, hasta que en una hora de debilidad, el demonio que había permanecido oculto resurgió más malvado que antes."
"""Jeckyll medikua ez dut gehiago ikusten eta bere berririk ez dut. Zerbait gertatu ote zaio edo nitaz ez du gehiago axolarik?""","""Hace días que no sé nada del Dr. Jekyll. ¿Ha pasado algo o has dejado de importarle?"""
"Hurrengo goizean, Jeckyll medikuaren desagertze misteriotsuaren aztertzera doa Sir George.","A la mañana siguiente, Sir George fue a averiguar la causa de la misteriosa ausencia del Dr. Jekyll."
"""Hyde Jauna da laborategiko giltza duen beste pertsona bakarra eta nahi bezala mugitzen uztea agindu du Jeckyll Medikuak.""","""La única persona que tiene llave del laboratorio es el Sr. Hyde, señor. Él me dijo que ese hombre podía entrar y salir cuando lo desease."""
"Desesperaturik, Millicent-ek Lanyon medikua deitzen du.","Desesperada, Millicent acudió al Dr. Lanyon."
"""Jeckyll medikuak ainitz kezkatzen nau.","""Estoy muy preocupada por el Dr. Jekyll."
"""Hyde-ek Jeckyll medikua akatu du!""","""Hyde ha matado al Dr. Jekyll."""
"""Abisatu medikua!""",¡Debe llevarle al médico!
Auzoko medikua.,El médico rural.
