Basque (eu),Spanish (es),es_traduction
"Henry Jeckyll, medikua idealista eta filantropoa.",- El Dr. Henry Jekyll - También idealista y filántropo.,"Henry Jeckyll, médico idealista y filántropo."
Jeckyll progresista den bezain kontserbadorea da Richard Lanyon medikua.,- El Dr. Richard Lanyon - Tan conservador en su profesión como progresista el Dr. Jekyll.,"Richard Lanyon, el médico, es tan conservador como el progresista Jekyll."
"""Jeckyll Medikuak sentitzen du afarira ez garaiz iritsi izana.","""El Dr. Jekyll siente no poder llegar a tiempo para la cena. Se unirá a nosotros más tarde.""","""El Doctor Jekyll lamenta que no lleguemos a tiempo para la cena."""
"Bere teoria irudikatzeko, Sir George-ek Jeckyll medikua leku horretara eraman du.",Sir George lleva al Dr. Jekyll a ese lugar para ilustrar todo lo que le dijo durante la cena.,"Para probar su teoría, Sir George ha llevado al médico Jeckyll a ese lugar."
"Menperatzen duen poderearen kontrako oldar batean, bere arimari buruz galdekatzen da Jeckyll medikua.","En una repentina repulsión contra el poder que sentía que lo arrastraba hacia abajo, el Dr. Jekyll entregó su alma como garantía.","En un asalto contra el poder que comprende, el médico Jeckyll cuestiona su propia alma."
"Garai batez, Hyde-en gutizia ilunei aurre egiten lortu zuen Jeckyll medikuak bainan egun batez luzaroegi preso egondako deabrua inoiz baino basatiago askatu zen.","Durante algún tiempo, el Dr. Jekyll renunció a las oscuras indulgencias de Hyde, hasta que en una hora de debilidad, el demonio que había permanecido oculto resurgió más malvado que antes.","Una vez, el médico Jeckyll logró controlar las pasiones oscuras de Hyde, pero un día, después de haber estado demasiado tiempo atrapado, el demonio se liberó más feroz que nunca."
"""Jeckyll medikua ez dut gehiago ikusten eta bere berririk ez dut. Zerbait gertatu ote zaio edo nitaz ez du gehiago axolarik?""","""Hace días que no sé nada del Dr. Jekyll. ¿Ha pasado algo o has dejado de importarle?""","""Ya no veo al médico Jekyll y no tengo noticias de él. ¿Le ha pasado algo o ya no se preocupa por mí?"""
"Hurrengo goizean, Jeckyll medikuaren desagertze misteriotsuaren aztertzera doa Sir George.","A la mañana siguiente, Sir George fue a averiguar la causa de la misteriosa ausencia del Dr. Jekyll.","A la mañana siguiente, Sir George investigará la misteriosa desaparición del médico Jeckyll."
"""Hyde Jauna da laborategiko giltza duen beste pertsona bakarra eta nahi bezala mugitzen uztea agindu du Jeckyll Medikuak.""","""La única persona que tiene llave del laboratorio es el Sr. Hyde, señor. Él me dijo que ese hombre podía entrar y salir cuando lo desease.""","""El Sr. Hyde es la única otra persona que tiene la llave del laboratorio y el Dr. Jekyll le ha ordenado que se mueva a su antojo."""
"Desesperaturik, Millicent-ek Lanyon medikua deitzen du.","Desesperada, Millicent acudió al Dr. Lanyon.","En desesperación, Millicent llama al médico Lanyon."
"""Jeckyll medikuak ainitz kezkatzen nau.","""Estoy muy preocupada por el Dr. Jekyll.",""" ""El médico Jekyll me preocupa mucho."""
"""Hyde-ek Jeckyll medikua akatu du!""","""Hyde ha matado al Dr. Jekyll.""","""Hyde ha asesinado al doctor Jekyll!"""
"""Abisatu medikua!""",¡Debe llevarle al médico!,"""¡Advierte al médico!"""
Auzoko medikua.,El médico rural.,Vecino médico.
Lepoko hau nola erabiltzen zen esan digu Paul Regnard frantses medikuak.,El doctor francés Paul Regnard describe cómo se usa el collar.,"¿Cómo se utilizaba este lecho, nos lo dice el médico francés Paul Regnard?"
"""Inurriak, euliak eta intsektuak jan, eta odola ateratzen die"". ""Medikuak txundituta dauzka"".","Su ansia por devorar hormigas, moscas y otros pequeños insectos para obtener su sangre, desconcierta a los médicos.","""Los bichos, las moscas y los insectos se comen, y le chupan la sangre"". ""Los médicos están sorprendidos""."
"Bakarrik ari naiz esaten gizon hau gaixorik dagoela, eta gaixoak ez dira borreroarengana eramaten, medikuarenera baino..",Quiero decir que este hombre está enfermo. Un hombre enfermo no debería ser ejecutado. - ¡Debería ser entregado a los médicos!,"Sólo digo que este hombre está enfermo, y a los enfermos no se les lleva al verdugo, sino al médico."
Hobe luke Kleok medikuari esatea zer bota zion bart ardoari.,Será mejor que obligues a Cleo a decirle al médico lo que le puso en el vino anoche.,Erreur
Medikuak nekatzea debekatu dizu.,El médico le ha prohibido cansarse.,Erreur
"""Jack, maitea, medikuarenean izan naiz eta orain Manderleyra noa.","""Querido Jack... Acabo de ver al médico y me voy corriendo a Manderley.",Erreur
