Basque (eu),Spanish (es),es_traduction
"Programa Bizkaia Talenten lidergopean dago, eta honako erakunde hauen babesa dauka: Bilbao Metrópoli-30, EHUko Zientzia eta Teknologia Fakultatea, Deustuko Unibertsitateko zein EHUko Zuzenbide Fakultatea, Deustuko Unibertsitateko Deusto Business School, EHUko Ingeniaritzako Goi Eskola Teknikoa, Deustuko Unibertsitateko Ingeniaritzako Goi Eskola (ESIDE), Mondragon Unibertsitateko Goi Eskola Politeknikoa, MUko Enpresa Fakultatea eta EHUko Ekonomia eta Enpresa Fakultatea, baita bederatzi elkargo profesionalena ere: Ekonomialarien Elkargoa; Euskadiko Kimikari eta Ingeniarien Elkargoa; Euskadiko Bide, Ubide eta Portuetako Ingeniarien Elkargoa; eta Euskadiko abokatuen, industriako ingeniarien, geologoen eta psikologoen elkargoak.","Este Programa está liderado por Bizkaia Talent y coordinado junto con Bilbao Metrópoli-30 además de la Facultad de Ciencia y Tecnología de la UPV-EHU, la Facultad de Facultad de Empresariales de MU, la Facultad de Economía y empresa de la UPV/EHU y nueve colegios profesionales: el de Economistas; Químicos e Ingenieros Químicos del País Vasco; Ingenieros de Caminos, Canales y Puertos del País Vasco, Abogados, Ingenieros Industriales, Geólogos y Psicólogos de Euskadi.","Programa Bizkaia Talenten lidergopean dago, eta honako erakunde hauen babesa dauka: Bilbao Metrópoli-30, EHUko Zientzia eta Teknologia Fakultatea, Deustuko Unibertsitateko zein EHUko Zuzenbide Fakultatea, Deustuko Unibertsitateko Deusto Business School, EHUko Ingeniaritzako Goi Eskola Teknikoa, Deustuko Unibertsitateko Ingeniaritzako Goi Eskola (ESIDE), Mondragon Unibertsitateko Goi Eskola Politeknikoa, MUko Enpresa Fakultatea eta EHUko Ekonomia eta Enpresa Fakultatea, baita bederatzi elkargo profesionalena ere: Ekonomialarien Elkargoa; Euskadiko Kimikari eta Ingeniarien Elkargoa; Euskadiko Bide, Ubide eta Portuetako Ingeniarien Elkargoa; eta Euskadiko abokatuen, industriako ingeniarien, geologoen eta psikologoen elkargoak."
"ULMA Conveyor-ek arrabolaz eta euskarriz hornitzen du ingeniaritza alemaniar bat, Semen Indonesia zementu-enpresen talde nazionalak, Indarung-eko (Sumatra) eta Rembang-eko (Java) plantak handitzeko lanetarako. Gehiago irakurri",ULMA Conveyor suministra a una ingeniería alemana los rodillos y soportes para las ampliaciones de las plantas del grupo cementero nacional Semen Indonesia en Leer Más,ULMA Conveyor proporciona ingeniería alemana con rodillos y en euskera para el grupo de empresas cementeras Semen Indonesia para aumentar las plantas en Indarung (Sumatra) y Rembang (Java).
"Bekak eskatu ahal izango dituzte Espainiako unibertsitateetan Gizarte Zientzietako, Zientzia Juridikoetako, Arteetako, Humanitateetako, Zientzietako, Osasun Zientzietako, Ekonomia Zientzietako, Enpresa Zientzietako, Ingeniaritzako eta Arkitekturako tituluak dituzten edo Espainiatik kanpo lortu baina bertan homologatu dituzten pertsonek, Espainian egoiliar-baimena dutenek edo diziplina anitzeko taldeek, batez ere profesionalez osatuta daudenek, eta negozio ideia bideragarria, sormenezkoa eta berritzailea dutenek.","Podrán optar a la beca aquellos profesionales titulados en Ciencias Sociales, Ciencias Jurídicas, Artes, Humanidades, Ciencias, Ciencias de la Salud, Ciencias Económicas, Empresariales, Ingenierías y Arquitectura en una Universidad Española o fuera del país y homologado en España, que tengan permiso de residencia en el territorio español, o equipos pluridisciplinares, integrados mayoritariamente por profesionales, con una idea de negocio viable, creativa e innovadora.","Puedes realizar solicitudes en universidades españolas si tienes títulos en Ciencias Sociales, Jurídicas, Artísticas, Humanidades, Científicas, de Salud, Económicas, Empresariales, de Ingeniería o Arquitectura, ya sea que los hayas obtenido en España o fuera pero homologados aquí, o si tienes residencia legal en España, o si formas parte de un equipo multidisciplinario, especialmente compuesto por profesionales, y tienes una idea de negocio viable, creativa e innovadora."
"Gure irakasleek gradu eta graduondoko titulazioetan irakasten dute ondorengo zentrotan: Ekonomia eta Enpresa Fakultatean (Araba, Bizkaia eta Gipuzkoa Campusetan), Bilboko Ingeniaritza Eskolako Nautika eta Itsasontzi-Makineria Goi Eskola Teknikoan, Zuzenbide Fakultatean (Bizkaia eta Gipuzkoako Campusetan) eta Lan Harreman eta Gizarte Langintza Fakultatean. Irakaslegoak buru edota partaide dira toki, eskualde, nazio nahiz Europar Batasuneko funts publikoekin finantziatutako proeiktu eta kontratuetan. Gaur egun 50 doktore tesiak baino gehiago daude Sailean inskribatuta.","El Profesorado del Departamento imparte docencia universitaria en las diferentes titulaciones de grado y postgrado que se imparten en la Facultad de Economía y Empresa, del Campus de Alava; Facultad de Economía y Empresa, Facultad de Derecho Sección Bizkaia, Escuela Técnica Superior de Náutica y Máquinas Navales integrada en la Escuela de Ingeniería de Bilbao, Facultad de Ciencias Sociales y de la Comunicación y Facultad de Relaciones Laborales y Trabajo Social, del Campus de Bizkaia; Facultad de Economía y Empresa Sección Donostia y Facultad de Derecho, del Campus de el Departamento cuenta con más de 50 Tesis Doctorales inscritas.","Nuestros profesores imparten en los siguientes centros de titulación: Facultad de Economía y Empresa (Campus de Álava, Bizkaia y Gipuzkoa), Escuela Técnica Superior de Náutica y Máquinas Navales de la Escuela de Ingeniería de Bilbao, Facultad de Derecho (Campus de Bizkaia y Gipuzkoa) y Facultad de Relaciones Laborales y Trabajo Social. El personal docente es responsable o participante en proyectos y contratos financiados con fondos públicos de ámbito local, regional, nacional o de la Unión Europea. Actualmente, hay más de 50 doctorados inscritos en el Departamento."
"Gainerako jardueretan hiru bat langile izaten dira batez beste: Publizitatea eta merkatu-azterketetan, 3,3; Alokairu zerbitzuetan, 3,1; Arkitektura eta ingeniaritzan, 2,9; Bidaia-agentzietan, 2,7.","El resto de actividades emplea en torno a tres personas en promedio (Publicidad y estudios de mercado 3,3, Actividades de alquiler 3,1, Servicios de arquitectura e ingeniería 2,9 y Agencias de viajes 2,7).","En otras actividades, en promedio hay alrededor de tres trabajadores: en Publicidad y estudios de mercado, 3,3; en Servicios de alquiler, 3,1; en Arquitectura e ingeniería, 2,9; en Agencias de viajes, 2,7."
"PDF Bilboko Ingeniaritza Eskolako Formula Student euskal taldeak bere historiako postu onena lortu du txapelketako lasterketan, Silverstonen lau sari irabaztean","PDF El equipo vasco Formula Student, de la Escuela de Ingeniería de Bilbao, ha conseguido el mejor puesto de su historia en la carrera de la competición con cuatro premios en Silverstone","El equipo de Fórmula Student de la Escuela de Ingeniería de Bilbao ha conseguido su mejor posición histórica en el campeonato de carreras, ganando cuatro premios en Silverstone."
Ingurumen Ingeniaritzako Gradua,Grado en Ingeniería Ambiental,Licenciatura en Ingeniería Ambiental
"Beren softwareko ingeniaritzako prozesu nagusian (ISW) informazio sistema baten elaborazio-proiektuan egin beharreko fase- eta jarduera-sekuentzia deskribatu eta normalizatzen du, eta baita horietako bakoitzean lortu beharreko entregagaiak ere.","En su proceso principal de ingeniería del software (ISW) describe y normaliza la secuencia de fases y actividades a realizar en el proyecto de elaboración de un sistema de información, así como los entregables a obtener en cada una de ellas.","Este proceso de ingeniería de software (ISW) describe y normaliza la secuencia de fases y actividades que deben realizarse en el proyecto de elaboración de un sistema de información, así como los entregables que deben obtenerse en cada una de ellas."
Ingeniaritzen alorreko ikaskuntzako mundu biltzarra egiteak unibertsitateari aukera ematen dio ikaslea helburu duten metodoetan esperientzia handiko ingeniaritza-alorreko sarerik aurreratuenetan egoteko.,El estar en las redes más avanzadas y con mayor experiencia en la aplicación de métodos centrados en el alumno en el campo de la ingeniería.,La realización de una conferencia mundial de aprendizaje en el campo de la ingeniería brinda a la universidad la oportunidad de estar en la vanguardia de los métodos más avanzados y con mayor experiencia en redes de ingeniería enfocadas en los estudiantes.
"Ingeniaritza zibileko obra aparta bat da bere legatu onena, oso ongi zainduta iritsi baita egundaino: hiriaren ur-horniketa.","Su mayor legado, una extraordinaria obra de ingeniería civil en buen estado de conservación: el sistema de abastecimiento de agua de la ciudad.","La obra de ingeniería civil es una parte destacada de su legado, que ha llegado muy bien conservada hasta el día de hoy: el suministro de agua de la ciudad."
