Basque (eu),Spanish (es),es_traduction
"Programa Bizkaia Talenten lidergopean dago, eta honako erakunde hauen babesa dauka: Bilbao Metrópoli-30, EHUko Zientzia eta Teknologia Fakultatea, Deustuko Unibertsitateko zein EHUko Zuzenbide Fakultatea, Deustuko Unibertsitateko Deusto Business School, EHUko Ingeniaritzako Goi Eskola Teknikoa, Deustuko Unibertsitateko Ingeniaritzako Goi Eskola (ESIDE), Mondragon Unibertsitateko Goi Eskola Politeknikoa, MUko Enpresa Fakultatea eta EHUko Ekonomia eta Enpresa Fakultatea, baita bederatzi elkargo profesionalena ere: Ekonomialarien Elkargoa; Euskadiko Kimikari eta Ingeniarien Elkargoa; Euskadiko Bide, Ubide eta Portuetako Ingeniarien Elkargoa; eta Euskadiko abokatuen, industriako ingeniarien, geologoen eta psikologoen elkargoak.","Este Programa está liderado por Bizkaia Talent y coordinado junto con Bilbao Metrópoli-30 además de la Facultad de Ciencia y Tecnología de la UPV-EHU, la Facultad de Facultad de Empresariales de MU, la Facultad de Economía y empresa de la UPV/EHU y nueve colegios profesionales: el de Economistas; Químicos e Ingenieros Químicos del País Vasco; Ingenieros de Caminos, Canales y Puertos del País Vasco, Abogados, Ingenieros Industriales, Geólogos y Psicólogos de Euskadi.","Programa Bizkaia Talente está liderado por Bilbao Metrópoli-30 y cuenta con el apoyo de las siguientes instituciones: la Facultad de Ciencias y Tecnología de la Universidad del País Vasco (UPV/EHU), la Facultad de Derecho de la UPV/EHU y la Universidad de Deusto, Deusto Business School de la Universidad de Deusto, la Escuela Técnica Superior de Ingeniería de la UPV/EHU, la Escuela de Ingeniería de la Universidad de Deusto (ESIDE), la Escuela Politécnica Superior de la Universidad de Mondragón, la Facultad de Empresa de la Universidad de Mondragón, la Facultad de Economía y Empresa de la UPV/EHU, y nueve colegios profesionales: el Colegio de Economistas, el Colegio de Químicos e Ingenieros de Euskadi, el Colegio de Ingenieros de Caminos, Canales y Puertos de Euskadi, y los colegios de abogados, ingenieros industriales, geólogos y psicólogos de Euskadi."
"Eguneko Zentroko 33 erabiltzaileei eta tratamenduetara joaten diren adingabeei arreta eskaintzen dieten profesionalen taldea hauek osatzen dute: sendagileak, gizarte-langilea, psikologoa, zentroko arduraduna, logopeda, arreta zuzeneko begiraleak eta fisioterapeuta.","El equipo de profesionales que atiende a los 33 usuarios de Centro de Día y los menores que acuden a tratamientos, está compuesto por médicos, trabajadora social, psicóloga, responsable de centro, logopeda, monitores de atención directa, fisioterapeuta.","Este equipo de profesionales proporciona atención a 33 usuarios diarios del Centro de Día y a los menores que asisten a tratamientos: médicos, trabajadores sociales, psicólogos, responsables del centro, logopedas, monitores de atención directa y fisioterapeutas."
"Institutuak pazientearen eskura jartzen du ia 20 urteko esperientzia duen diziplina anitzeko giza lan-taldea. Espezializazio handidun ginekologo, enbriologo, genetista, urologo, psikologo eta erizainez osatutako lan-taldea osatzen dugu.","Autorizo al envío de información promocional y publicitaria sobre centros y servicios del Grupo Hospitalario embriólogos, genetistas, urólogos, psicólogos y enfermeras, todos de alta especialización combinando la excelencia con un trato cercano y confidencial.","El instituto pone a disposición del paciente un equipo multidisciplinario humano con casi 20 años de experiencia. Este equipo está compuesto por ginecólogos, embriólogos, genetistas, urólogos, psicólogos y enfermeras con alta especialización."
"Howard Gardner psikologo, maisu eta inbestigatzailearen ""Adimen anizkunen teoria"" oinarritzat hartuz, non esaten den gizakiok ez dugula adimen bakar bat, joko eta jarduera dinamika bat sortu dugu adimen ezberdin hauek lantzeko.","Partiendo de la teoría de las ""Inteligencias Múltiples"" del Profesor Howard Gardner en la que afirma que no hay una única inteligencia, creamos una dinámica de juegos/actividades en la que se trabajan las diferentes inteligencias.","Teoría de las inteligencias múltiples de Howard Gardner, psicólogo, maestro e investigador, se basa en la idea de que los seres humanos no tenemos una sola inteligencia, sino que poseemos una diversidad de inteligencias. A partir de esta premisa, hemos creado una dinámica de juegos y actividades para desarrollar estas diferentes inteligencias."
"Laguntza teknikoa emateko langileria (gizarte langileak, psikologoak, hezitzaileak, arduradunak…) ez dira lar etxeetan bizi, Itaka-Eskolapioak Fundazioaren egoitzan egiten dute lan, lar etxeetako neska mutilekin.","El personal de apoyo técnico (trabajadores sociales, psicólogos, educadores, coordinadores, etc.) no reside en los hogares, desarrollan su labor en la sede de Itaka-Escolapios, los hogares,…","Personal de apoyo técnico (trabajadores sociales, psicólogos, educadores, responsables…) no viven en los hogares, sino que trabajan en la sede de la Fundación Itaka-Eskolapios con los niños y niñas de los hogares."
"Amaia Martioda nutrizionistak, Lucía Quintana psikologoak eta Javier Orbañanosek (Hezkuntza eta Kirol Fakultateko irakaslea) gai ezberdinetako hitzaldiak eman zituzten: Kirol-nutrizioaren oinarriak, Txapelketetarako kontrol mentala, Entrenamenduen karga eta Laktato proba.","En esta ocasión los ponentes han sido Amaia Martioda (Nutricionista), Lucia Quintana (Psicóloga) y Javier Orbañanos (Profesor en la Facultad de Educación y Deporte), que trataron los siguientes temas: Fundamentos de la Nutrición Deportiva, Preparación mental para la competición y la Carga de entrenamiento y test de Lactato.","Amaia Martioda (nutricionista), Lucía Quintana (psicóloga) y Javier Orbañanose (profesor de la Facultad de Educación y Deporte) ofrecieron charlas sobre diferentes temas: Fundamentos de la nutrición deportiva, Control mental para competiciones, Carga de entrenamientos y Prueba de lactato."
"DIN A4 tamainan argitaratzen den aldizkari digitala. Bizkaian elkargokide diren psikologoei, estatu espainiarreko Psikologoen Elkargo guztiei eta arloarekin zerikusia duten hainbat instituzio eta organismoei, hala nola, liburutegi, fundazio eta unibertsitateei, hilabete horietako lehen astean bidaltzen zaie.","Tamaño DIN A4 en formato digital que se envía la primera semana del mes correspondiente a psicólogos/as colegiados/as en el territorio de Bizkaia, a todos los Colegios de Psicólogos del estado Español y a diferentes instituciones y organismos relacionados con el área como bibliotecas, fundaciones y universidades.","El tamaño de publicación es DIN A4 y se envía digitalmente. Se envía a los psicólogos asociados en Bizkaia, a todos los Colegios de Psicólogos de España, y a varias instituciones y organismos relacionados, como bibliotecas, fundaciones y universidades, en la primera semana de cada mes."
"Osasun-zerbitzuak eta osasun-zentroak: ospitale orokorrak eta psikiatrikoak, buru-osasuneko zentroak, errehabilitazio-zentroak, lehen mailako arretarako zentroak, unitate geriatrikoak, haurren unitateak, oinazearen unitateak, zainketa aringarrien unitateak, unitate neurologikoak eta onkologikoak, eta psikologoen bulegoak.","Servicios sanitarios y centros de salud: hospitales generales y psiquiátricos, centros de salud mental, de rehabilitación, centros de atención primaria, unidades geriátricas, infantiles, del dolor, de cuidados paliativos, unidades neurológicas y oncológicas, gabinetes psicológicos.","Servicios y centros de salud: hospitales generales y psiquiátricos, centros de salud mental, centros de rehabilitación, centros de atención primaria, unidades geriátricas, unidades pediátricas, unidades de dolor, unidades de cuidados paliativos, unidades neurológicas y oncológicas, y consultorios de psicólogos."
"361/2017 Errege Dekretua, apirilaren 8koa, Espainiako Abokatutzaren Kontseilu Orokorrari eta Espainiako Prokuradoreen Kontseilu Orokorrari —doako laguntza juridikoa emateko— eta Psikologoen Elkarte Ofizialen Kontseilu Orokorrari —delituen biktimei laguntza psikologikoa emateko— 2017ko aurrekontu-ekitaldirako diru-laguntzak zuzenean ematea arautzen duena.","Real Decreto 72/2018, de 19 de febrero, por el que se regula la concesión directa de subvenciones al Consejo General de la Abogacía Española y al Consejo General de los Procuradores de España en materia de prestación de asistencia jurídica gratuita y al Consejo General de Colegios Oficiales de Psicólogos para la asistencia psicológica a las víctimas de los delitos, para el ejercicio presupuestario 2018.","Real Decreto 361/2017, de 8 de abril, por el que se regula la concesión directa de subvenciones para el ejercicio 2017 al Consejo General de la Abogacía Española y al Consejo General del Ministerio Fiscal —para la prestación de asistencia jurídica gratuita—, y al Consejo General de la Oficial de Psicólogos —para la prestación de asistencia psicológica a las víctimas de delitos."
"D. W. Johnson psikologo sozialaren iritziz, taldean kolaboratzen dakigunean emaitza hobeak lortzen ditugu, ongizate emozional handiagoaz gain.","A juicio del psicólogo social D. W. Johnson, cuando sabemos colaborar en equipo obtenemos mejores resultados, junto a un mayor bienestar emocional.","Según la opinión del psicólogo social D. W. Johnson, cuando colaboramos en grupo, obtenemos mejores resultados y, además, un mayor bienestar emocional."
