Basque (eu),Spanish (es),Traduccion
"Henry Jeckyll, medikua idealista eta filantropoa.",- El Dr. Henry Jekyll - También idealista y filántropo.,"Henry Jeckyll, médico idealista y filántropo."
Jeckyll progresista den bezain kontserbadorea da Richard Lanyon medikua.,- El Dr. Richard Lanyon - Tan conservador en su profesión como progresista el Dr. Jekyll.,El doctor Richard Lanyon es tan conservador como Jeckyll es progresista.
"""Jeckyll Medikuak sentitzen du afarira ez garaiz iritsi izana.","""El Dr. Jekyll siente no poder llegar a tiempo para la cena. Se unirá a nosotros más tarde.""",El Doctor Jeckyll siente no haber llegado a tiempo a la cena.
"Bere teoria irudikatzeko, Sir George-ek Jeckyll medikua leku horretara eraman du.",Sir George lleva al Dr. Jekyll a ese lugar para ilustrar todo lo que le dijo durante la cena.,"Para ilustrar su teoría, Sir George ha llevado al doctor Jeckyll a ese lugar."
"Menperatzen duen poderearen kontrako oldar batean, bere arimari buruz galdekatzen da Jeckyll medikua.","En una repentina repulsión contra el poder que sentía que lo arrastraba hacia abajo, el Dr. Jekyll entregó su alma como garantía.","En un arrebato contra el poder que lo domina, el doctor Jeckyll se cuestiona sobre su alma."
"Garai batez, Hyde-en gutizia ilunei aurre egiten lortu zuen Jeckyll medikuak bainan egun batez luzaroegi preso egondako deabrua inoiz baino basatiago askatu zen.","Durante algún tiempo, el Dr. Jekyll renunció a las oscuras indulgencias de Hyde, hasta que en una hora de debilidad, el demonio que había permanecido oculto resurgió más malvado que antes.","Durante un tiempo, el doctor Jekyll logró hacer frente a los oscuros deseos de Hyde, pero un día el demonio que había estado preso demasiado tiempo se liberó más salvaje que nunca."
"""Jeckyll medikua ez dut gehiago ikusten eta bere berririk ez dut. Zerbait gertatu ote zaio edo nitaz ez du gehiago axolarik?""","""Hace días que no sé nada del Dr. Jekyll. ¿Ha pasado algo o has dejado de importarle?""",No veo más al doctor Jekyll y no tengo noticias de él. ¿Le habrá pasado algo o ya no le importo?
"Hurrengo goizean, Jeckyll medikuaren desagertze misteriotsuaren aztertzera doa Sir George.","A la mañana siguiente, Sir George fue a averiguar la causa de la misteriosa ausencia del Dr. Jekyll.","A la mañana siguiente, Sir George va a investigar la misteriosa desaparición del Doctor Jeckyll."
"""Hyde Jauna da laborategiko giltza duen beste pertsona bakarra eta nahi bezala mugitzen uztea agindu du Jeckyll Medikuak.""","""La única persona que tiene llave del laboratorio es el Sr. Hyde, señor. Él me dijo que ese hombre podía entrar y salir cuando lo desease.""","El Señor Hyde es la única otra persona que tiene la llave del laboratorio, y el Doctor Jekyll ha ordenado que se le permita moverse a su antojo."
"Desesperaturik, Millicent-ek Lanyon medikua deitzen du.","Desesperada, Millicent acudió al Dr. Lanyon.","Desesperada, Millicent llama al doctor Lanyon."
"""Jeckyll medikuak ainitz kezkatzen nau.","""Estoy muy preocupada por el Dr. Jekyll.",El doctor Jeckyll me preocupa mucho.
"""Hyde-ek Jeckyll medikua akatu du!""","""Hyde ha matado al Dr. Jekyll.""",¡Hyde ha matado al doctor Jeckyll!
"""Abisatu medikua!""",¡Debe llevarle al médico!,¡Avisa al médico!
Auzoko medikua.,El médico rural.,El médico del barrio.
Lepoko hau nola erabiltzen zen esan digu Paul Regnard frantses medikuak.,El doctor francés Paul Regnard describe cómo se usa el collar.,El médico francés Paul Regnard nos ha dicho cómo se usaba este collar.
"""Inurriak, euliak eta intsektuak jan, eta odola ateratzen die"". ""Medikuak txundituta dauzka"".","Su ansia por devorar hormigas, moscas y otros pequeños insectos para obtener su sangre, desconcierta a los médicos.","Come hormigas, moscas e insectos, y les saca la sangre. Tiene asombrados a los médicos."
"Bakarrik ari naiz esaten gizon hau gaixorik dagoela, eta gaixoak ez dira borreroarengana eramaten, medikuarenera baino..",Quiero decir que este hombre está enfermo. Un hombre enfermo no debería ser ejecutado. - ¡Debería ser entregado a los médicos!,"Solo estoy diciendo que este hombre está enfermo, y los enfermos no se llevan al verdugo, sino al médico."
Hobe luke Kleok medikuari esatea zer bota zion bart ardoari.,Será mejor que obligues a Cleo a decirle al médico lo que le puso en el vino anoche.,Cleo debería decirle al médico qué le echó al vino anoche.
Medikuak nekatzea debekatu dizu.,El médico le ha prohibido cansarse.,El médico te ha prohibido cansarte.
"""Jack, maitea, medikuarenean izan naiz eta orain Manderleyra noa.","""Querido Jack... Acabo de ver al médico y me voy corriendo a Manderley.","Jack, querido, he estado en el médico y ahora voy a Manderley."
"Danny, nor zen Rebeccaren medikua?",¿Quién era el médico de Rebecca?,"Danny, ¿quién era el médico de Rebeca?"
Baina Londresen zuen medikua nor zen?,Pero sabes que me refiero al médico de Rebecca en Londres.,"Pero, ¿quién era su médico en Londres?"
Deitu diozue medikuari?,¿Han llamado al médico?,¿Han llamado al médico?
- Nik medikuari ordaindu behar diot.,- Yo tengo que pagar al médico.,Tengo que pagar al médico.
- Medikuak dio hotza hartu duela.,- El médico dice que es un resfriado.,El médico dice que ha cogido frío.
- Medikuak?,- ¿El médico?,¿Los médicos?
Medikuak esan du ondo egongo dela Natibitate eguneko bazkarirako.,El médico dijo que estará bien para la comida de Navidad.,El médico ha dicho que estará bien para la comida de Navidad.
- Bere aholkulari medikua nintzen.,- Yo era su médico.,Yo era su asesor médico.
FILMEAN AZALDUTAKO GERTAKARI MEDIKUAK EGIAZKOAK DIRA.,"LOS HECHOS médicos EXPUESTOS EN LA PELÍCULA SON verídicos. ""TOXlNA luminosa"" ES EL término descriptivo",Los hechos médicos descritos en la película son verdaderos.
- Medikuak gomendatu zuen.,- Lo sugirió el médico.,El médico recomendó.
Madamen medikuak.,El médico de madam.,Los médicos de la señora
Medikua da hemen.,El médico está aquí.,El médico está aquí.
Medikuak ahaleginik ez egiteko esan dizu.,Recuerda que el médico te prohibió cualquier esfuerzo.,El médico te ha dicho que no hagas ningún esfuerzo.
Ez plazaratu medikuaren txostena 24 ordu barru arte.,Retenga el parte médico durante 24 horas.,No publiques el informe del médico hasta dentro de 24 horas.
Medikuak eman zidan.,Me lo dio el doctor.,El médico me lo dio.
Medikuak uste du hotzeria psikologiko bat izan daitekeela.,El doctor piensa que posiblemente la causa de mi resfrío sea la psicología.,El médico cree que podría ser un resfriado psicológico.
Bereziki gogorra da medikua bazara... eta zuk jakin dakizu txarto dagoela.,Es particularmente duro cuando usted es médico.... Y usted sabe qué estaba mal con él.,Es especialmente duro si eres médico... y tú mismo sabes que está mal.
"Entzun, landa medikua naiz, baina zenbait gauza badakizkit.","Escucha, soy sólo un médico rural, pero algunas cosas sé.","Escucha, soy un médico rural, pero sé algunas cosas."
Edo salatu dezadan nahi duzu herriko medikua asaldatzearren?,¿O quieres que le levante cargos por perturbar al doctor del pueblo?,¿O quieres que le denuncie por molestar al médico del pueblo?
