Basque (eu),Spanish (es),Spanish_Translation
"Programa Bizkaia Talenten lidergopean dago, eta honako erakunde hauen babesa dauka: Bilbao Metrópoli-30, EHUko Zientzia eta Teknologia Fakultatea, Deustuko Unibertsitateko zein EHUko Zuzenbide Fakultatea, Deustuko Unibertsitateko Deusto Business School, EHUko Ingeniaritzako Goi Eskola Teknikoa, Deustuko Unibertsitateko Ingeniaritzako Goi Eskola (ESIDE), Mondragon Unibertsitateko Goi Eskola Politeknikoa, MUko Enpresa Fakultatea eta EHUko Ekonomia eta Enpresa Fakultatea, baita bederatzi elkargo profesionalena ere: Ekonomialarien Elkargoa; Euskadiko Kimikari eta Ingeniarien Elkargoa; Euskadiko Bide, Ubide eta Portuetako Ingeniarien Elkargoa; eta Euskadiko abokatuen, industriako ingeniarien, geologoen eta psikologoen elkargoak.","Este Programa está liderado por Bizkaia Talent y coordinado junto con Bilbao Metrópoli-30 además de la Facultad de Ciencia y Tecnología de la UPV-EHU, la Facultad de Facultad de Empresariales de MU, la Facultad de Economía y empresa de la UPV/EHU y nueve colegios profesionales: el de Economistas; Químicos e Ingenieros Químicos del País Vasco; Ingenieros de Caminos, Canales y Puertos del País Vasco, Abogados, Ingenieros Industriales, Geólogos y Psicólogos de Euskadi.","El programa está bajo el liderazgo de Bizkaia Talent y cuenta con el patrocinio de la Facultad de Ciencia y Tecnología de la UPV/EHU, la Facultad de Ciencia y Tecnología de la UPV/EHU, la Facultad de Derecho de la Universidad de Deusto y de la UPV/EHU, Deusto Business School de la Universidad de Deusto, la Escuela Técnica Superior de Ingeniería de la UPV/EHU (ESIDE), la Escuela Politécnica Superior de Ingeniería de la Universidad de Deusto, la Facultad de Empresariales de Mondragon Unibertsitatea, la Facultad de Economía y Empresariales de la UPV-EHU, así como nueve colegios profesionales: Colegio de Economistas"
"ULMA Conveyor-ek arrabolaz eta euskarriz hornitzen du ingeniaritza alemaniar bat, Semen Indonesia zementu-enpresen talde nazionalak, Indarung-eko (Sumatra) eta Rembang-eko (Java) plantak handitzeko lanetarako. Gehiago irakurri",ULMA Conveyor suministra a una ingeniería alemana los rodillos y soportes para las ampliaciones de las plantas del grupo cementero nacional Semen Indonesia en Leer Más,"ULMA Conveyor dota de rodillo y soporte a una ingeniería alemana, grupos nacionales de empresas de cemento Semen Indonesia, para la ampliación de las fisonomías de Berdeung (Sumatra) y Rembang (Java)."
"Bekak eskatu ahal izango dituzte Espainiako unibertsitateetan Gizarte Zientzietako, Zientzia Juridikoetako, Arteetako, Humanitateetako, Zientzietako, Osasun Zientzietako, Ekonomia Zientzietako, Enpresa Zientzietako, Ingeniaritzako eta Arkitekturako tituluak dituzten edo Espainiatik kanpo lortu baina bertan homologatu dituzten pertsonek, Espainian egoiliar-baimena dutenek edo diziplina anitzeko taldeek, batez ere profesionalez osatuta daudenek, eta negozio ideia bideragarria, sormenezkoa eta berritzailea dutenek.","Podrán optar a la beca aquellos profesionales titulados en Ciencias Sociales, Ciencias Jurídicas, Artes, Humanidades, Ciencias, Ciencias de la Salud, Ciencias Económicas, Empresariales, Ingenierías y Arquitectura en una Universidad Española o fuera del país y homologado en España, que tengan permiso de residencia en el territorio español, o equipos pluridisciplinares, integrados mayoritariamente por profesionales, con una idea de negocio viable, creativa e innovadora.","Podrán solicitar becas en las universidades españolas, aquellas personas que tengan títulos de Ciencias Sociales, Ciencias Jurídicas, Artes, Humanidades, Ciencias de la Salud, Ciencias Económicas, Ciencias Empresariales, Ingeniería y Arquitectura, o que hayan obtenido sus titulaciones fuera de España, con permiso de residencia en España o grupos multidisciplinares, especialmente de profesionales, y que tengan una idea de negocio viable, creativa e innovadora."
"Gure irakasleek gradu eta graduondoko titulazioetan irakasten dute ondorengo zentrotan: Ekonomia eta Enpresa Fakultatean (Araba, Bizkaia eta Gipuzkoa Campusetan), Bilboko Ingeniaritza Eskolako Nautika eta Itsasontzi-Makineria Goi Eskola Teknikoan, Zuzenbide Fakultatean (Bizkaia eta Gipuzkoako Campusetan) eta Lan Harreman eta Gizarte Langintza Fakultatean. Irakaslegoak buru edota partaide dira toki, eskualde, nazio nahiz Europar Batasuneko funts publikoekin finantziatutako proeiktu eta kontratuetan. Gaur egun 50 doktore tesiak baino gehiago daude Sailean inskribatuta.","El Profesorado del Departamento imparte docencia universitaria en las diferentes titulaciones de grado y postgrado que se imparten en la Facultad de Economía y Empresa, del Campus de Alava; Facultad de Economía y Empresa, Facultad de Derecho Sección Bizkaia, Escuela Técnica Superior de Náutica y Máquinas Navales integrada en la Escuela de Ingeniería de Bilbao, Facultad de Ciencias Sociales y de la Comunicación y Facultad de Relaciones Laborales y Trabajo Social, del Campus de Bizkaia; Facultad de Economía y Empresa Sección Donostia y Facultad de Derecho, del Campus de el Departamento cuenta con más de 50 Tesis Doctorales inscritas.","Nuestro profesorado enseña en titulaciones de grado y posgrado en los siguientes centros: la Facultad de Economía y Empresa (campos de Álava, Bizkaia y Gipuzkoa), la Escuela Técnica Superior de Náutica y Máquinas Navales de la Escuela de Ingeniería de Bilbao, la Facultad de Derecho (Campus de Bizkaia y Gipuzkoa) y la Facultad de Relaciones Laborales y Trabajo Social."
"Gainerako jardueretan hiru bat langile izaten dira batez beste: Publizitatea eta merkatu-azterketetan, 3,3; Alokairu zerbitzuetan, 3,1; Arkitektura eta ingeniaritzan, 2,9; Bidaia-agentzietan, 2,7.","El resto de actividades emplea en torno a tres personas en promedio (Publicidad y estudios de mercado 3,3, Actividades de alquiler 3,1, Servicios de arquitectura e ingeniería 2,9 y Agencias de viajes 2,7).","En el resto de las actividades hay un promedio de tres trabajadores: publicidad y estudios de mercado, 3,3; Servicios de Alquiler 3,1; Arquitectura e Ingeniería, 2,9; Agencias de Viaje 2,7."
"PDF Bilboko Ingeniaritza Eskolako Formula Student euskal taldeak bere historiako postu onena lortu du txapelketako lasterketan, Silverstonen lau sari irabaztean","PDF El equipo vasco Formula Student, de la Escuela de Ingeniería de Bilbao, ha conseguido el mejor puesto de su historia en la carrera de la competición con cuatro premios en Silverstone",El grupo vasco Fórmula Student de la Escuela de Ingeniería de Bilbao obtiene el mejor puesto de su historia en la carrera de Silverston
Ingurumen Ingeniaritzako Gradua,Grado en Ingeniería Ambiental,Grado en Ingeniería Ambiental
"Beren softwareko ingeniaritzako prozesu nagusian (ISW) informazio sistema baten elaborazio-proiektuan egin beharreko fase- eta jarduera-sekuentzia deskribatu eta normalizatzen du, eta baita horietako bakoitzean lortu beharreko entregagaiak ere.","En su proceso principal de ingeniería del software (ISW) describe y normaliza la secuencia de fases y actividades a realizar en el proyecto de elaboración de un sistema de información, así como los entregables a obtener en cada una de ellas.","En el proceso central de ingeniería de su software (ISW) describe y normaliza la secuencia de fases y actividades a realizar en el proyecto de elaboración de un sistema de información, así como los objetos a conseguir en cada uno de ellos."
Ingeniaritzen alorreko ikaskuntzako mundu biltzarra egiteak unibertsitateari aukera ematen dio ikaslea helburu duten metodoetan esperientzia handiko ingeniaritza-alorreko sarerik aurreratuenetan egoteko.,El estar en las redes más avanzadas y con mayor experiencia en la aplicación de métodos centrados en el alumno en el campo de la ingeniería.,La creación de un congreso mundial de aprendizaje en ingeniería permite a la universidad estar en las redes más avanzadas en el campo de la ingeniería de gran experiencia en métodos que tienen como objetivo.
"Ingeniaritza zibileko obra aparta bat da bere legatu onena, oso ongi zainduta iritsi baita egundaino: hiriaren ur-horniketa.","Su mayor legado, una extraordinaria obra de ingeniería civil en buen estado de conservación: el sistema de abastecimiento de agua de la ciudad.","Una obra excelente de la ingeniería civil es su mejor legado, que ha llegado hasta nuestros días muy bien cuidado: el abastecimiento de agua de la ciudad."
"Bilera honetan IK4-IDEKOko 4 pertsonek parte hartu zuten; Xavier Beudaert, kide korporatiboa; David Barrenetxea, kide elkartua; Jokin Muñoa, berriki talde exigenteko kide izatera pasatu dena, produkzio ingeniaritza alorrean onenentzat erreserbatua dagoen taldea hain zuzen ere; eta Mikel Zatarain, gaur egun CIRPn Espainiak duen kide numerario (fellow) bakarra.","A esta reunión asistieron cuatro personas de IK4-IDEKO, el miembro corporativo Xavier Beudaert, el miembro asociado David Barrenetxea, y Jokin Muñoa, quien recientemente ha pasado a ser parte de este círculo exigente reservado a los mejores en el ámbito de la ingeniería de la producción y Mikel Zatarain, único miembro numerario (fellow) representante de España en CIRP en la actualidad.","En esta reunión participaron 4 personas del IK4-IDEKO; Xavier Beudaert, miembro corporativo; David Barrenetxea, miembro asociado; Jokin Muñoa, recientemente miembro del equipo exigente, un equipo reservado para los mejores en el campo de la ingeniería productiva; y Mikel Zatarain, hoy único miembro del CIRPn España."
"Masterrak ingeniaritzako beste alorreko graduatuak onartzen ditu (bereziki, telekomunikazio eta industriakoak), baita zientzietako tituludunak ere (bereziki, matematikak eta fisika).","El máster permite el acceso de graduados en otros títulos de la rama de ingeniería (en particular, telecomunicación e industriales), así como en títulos de la rama de ciencias (en particular, matemáticas y físicas).","El Máster acepta graduados en otras áreas de la ingeniería (especialmente de telecomunicaciones e industrias), así como titulados en ciencias (especialmente matemáticas y física)."
"Saioetan eta tailerretan parte hartu ondoren, Mondragon Unibertsitateko Industria Antolakuntzako Ingeniaritza Graduko 3. ikasturteko ikasleek egindako proiektua aurkezteko aukera izan zuten: Lehiarako abantaila gehitzeko logistikako faktore gakoak identifikatzeko, salmenten eta banaketaren sektorean espezializatutako enpresa industrial baten hornidura katearen analisia.","Tras participar en las sesiones y talleres, tuvieron la oportunidad de presentar el proyecto realizado con los estudiantes del 3º curso del Grado en Ingeniería en Organización Industrial de Mondragon Unibertsitatea: Análisis de la cadena de suministro de una empresa industrial especializada en el sector de ventas y distribución para identificar los factores logísticos clave que incrementen la ventaja competitiva.","Tras participar en sesiones y talleres, los alumnos del 3o curso de Grado en Ingeniería en Organización Industrial de Mondragon Unibertsitatea pudieron presentar el proyecto realizado: identificar los factores clave de logística para aumentar la ventaja competitiva, análisis de la cadena de abastecimiento de una empresa industrial especializada en el sector de ventas y distribución."
"P1G1A gela (I eraikina, IGET), Bilboko Ingeniaritza Eskolan","Aula P1G1A (edificio I, ETSI), Escuela de Ingeniería de Bilbao","Aula P1G1A (Edificio I), Escuela de Ingeniería de Bilbao"
Gehiago irakurri Mondragon Unibertsitatearen beste bi ingeniaritza-tituluk kalitatearen Europako zigilua eskuratu dute,Leer Más Dos nuevos títulos de Ingeniería de Mondragon Unibertsitatea obtienen el sello europeo de alta calidad,Leer más otros dos títulos de ingeniería de Mondragon Unibertsitatea reciben el Sello Europeo de Calidad
"Hala ere, garapen berrien abangoardian egon asmoz ingurumen ingeniaritza sailak bere ikerketa helburuak egokitu behar izan ditu.","En la última década, las tecnologías estudiadas/analizadas se han ido ampliando y adaptando a los objetivos de la investigación con el propósito de estar a la cabeza de los nuevos desarrollos.","Sin embargo, el departamento de ingeniería ambiental ha tenido que adecuar sus objetivos de investigación a la vanguardia de los nuevos desarrollos."
Ingeniaritza eta aholkularitza,Ingeniería y asesoramiento,Ingeniería y asesoramiento
"Hamar urte badira euskal haur eta gazteen artean STEAM prestakuntza bultzatzeko ekimen honen buru eta antolatzaile dela Innobasque.Hezkuntza praktikoa, zientzia, teknologia, ingeniaritza eta matematikak biltzen dituena egungo gizarte-erronkak konpontzeko.Ekimen hau STEAM Euskadi Estrategiaren barruan sartzen da, Eusko Jaurlaritzak bultzatua Innobasquerekin lankidetzan. Laguntzaileak Innobasqueren laguntzaile izango dira FIRST LEGO League Euskadin Euskaltel Konekta Fundazioa, Eusko Jaurlaritzako Hezkuntza Saila, MONDRAGON Korporazioa, Petronor Innovación/Berrikuntza, Gasteizko Udala, Arabako Foru Aldundia, Bizkaiko Foru Aldundia, Sener eta AZTI.","En definitiva, cualquier propuesta que contribuya a mantenerse con vida, sanos y felices en el espacio exterior. Innobasque lidera y organiza desde hace diez años esta iniciativa para impulsar la Educación STEAM en la infancia y juventud vascas. Una educación práctica que integra la ciencia, la tecnología, la ingeniería y las matemáticas para resolver los Euskadi la Fundación Euskaltel Konekta, el Departamento de Educación del Gobierno Vasco, MONDRAGON Corporación, Petronor Innovación, el Ayuntamiento de Vitoria-Gasteiz, la Diputación Foral de Prensa, Noticias, SliderHOME","Innobasque dirige y organiza esta iniciativa de promoción de la formación STEAM entre niños y jóvenes vascos desde hace diez años.La educación práctica, que engloba la ciencia, la tecnología, la ingeniería y las matemáticas para la resolución de los retos sociales actuales.Esta iniciativa se enmarca dentro de la Estrategia STEAM Euskadi, impulsada por el Gobierno Vasco en colaboración con Innobasque.Los colaboradores serán FIRST LEGO League en Euskadi, Fundación Euskaltel Konekta, Departamento de Educación del Gobierno Vasco, Corporación MONDAGON, Corporación Petronor Innovación/Innovación, Ayuntamiento de Vitoria-Gasteiz, Diputación Foral de"
Industria Antolakuntzaren Ingeniaritzako Gradua (Bizkaia) (Bilboko Ingeniaritza Goi Eskola Teknikoa),Grado en Ingeniería Eléctrica (Alava) (Escuela Universitaria de Ingeniería de Vitoria-Gasteiz),Grado en Ingeniería Electrónica Industrial y Automática (Alava) (Escuela Universitaria de Ingeniería de Vitoria-Gasteiz)
"Gure indarrek garena izatera eraman gaituzten horiek izaten jarraitzen dute: gaitasun handiz prestatutako giza talde bat, ezaugarritzat ingeniaritza logistikoa eta berrikuntza dituena, eta merkatuko beharrei erantzuteko eta bezeroa erabat gogobetetzeko gai dena.","Nuestras fortalezas siguen siendo las mismas que nos han hecho llegar a ser lo que somos: Un equipo humano formado con una alta capacidad profesional, cuyas señas de identidad son la ingeniería logística y la innovación capaces de responder a las nuevas necesidades de mercado y a conseguir la máxima satisfacción del cliente.","Nuestras fuerzas siguen siendo las que nos han llevado a ser: un grupo humano dotado de gran capacidad, caracterizado por una ingeniería logística e innovación, capaz de responder a las necesidades del mercado y de satisfacer al cliente plenamente."
"Alvarezek EAJren jarrera botere kontua baino ez dela adierazi du; “minduta dago Barakaldoko bizilagunak elkartzeko eta hainbat aukera aurkezteko gaitasuna izan dutelako, ingeniaritza eta ingurumen ikerlanak mahai gainean jarrita, euren luma-kartoia baino askoz hobeak. Ez dute euren erabakiak dudatan jartzen dutenak ondoan izan nahi”.","Para Álvarez, la postura del PNV tiene que ver más con un tema de poder, ""el PNV está dolido porque la ciudadanía ha sido capaz de articularse y presentar alternativas con estudios de ingeniería y medioambientales, netamente mejores que su cartón pluma, y no quieren permitir que se pongan en duda sus decisiones"".","Alvarez afirma que la actitud del PNV no es más que una cuestión de poder; está desesperada porque los vecinos de Barakaldo han tenido la capacidad de reunirse y presentar oportunidades, con ingenierías y estudios ambientales sobre la mesa, mucho mejor que su cartón de plumas. No quieren que los que ponen en duda sus decisiones estén a su lado."
"55 metroko altuera eta 75 metroko diametroa duten tanga hauetan, teknologia aurreratuenaz egiten diren ingeniaritzako lan bikain hauetan, biltegiratzen da GNLa eta -160oC-tan edukitzen dute hoztuta.","Con 55 metros de altura y 75 de diámetro, estas obras de ingeniería realizadas con la más avanzada tecnología permiten almacenar el GNL manteniéndolo refrigerado a -160°C.","En estas tangas de 55 metros de altura y 75 metros de diámetro, que se realizan con la tecnología más avanzada, se almacena la GNL y la mantiene enfriada a -160oC."
"Ingeniaritza Sistemetako eta Automatikoko Elektronika arloan, Valladolideko Unibertsitatean, non Zientzia Fisikoko Doktore titulua ere lortu zuen.","El profesor Cesar de Prada se graduó en Ciencias Físicas, Electrónica, en la Universidad de Valladolid y donde obtuvo posteriormente el título de Doctor en Ciencias Físicas.","En el área de Electrónica de Sistemas de Ingeniería y Automática, en la Universidad de Valladolid, donde obtuvo el título de Doctor en Ciencia Física."
"""Munduko ordenagailuek dituzten egungo algoritmo nagusien aldean ikusi dugun nagusitasun kuantikoaren erakustaldi hau lorpen benetan bikaina da"", dio William Oliverrek, alegia, Massachusettseko Institutu Teknologikoaren Ingeniaritza Informatiko eta Fisikoaren Departamentuko ikertzaileak.","""Esta demostración de supremacía cuántica sobre los principales algoritmos clásicos actuales en los principales superordenadores del mundo es realmente un logro notable"", señala William Oliver, investigador del Departamento de Ingeniería Informática y Física del Instituto Tecnológico de Massachusetts (MIT).","""Esta demostración de superioridad cuántica que hemos visto en comparación con los principales algoritmos actuales de los ordenadores del mundo es un logro realmente brillante"", dice William Oliver, investigador del Departamento de Ingeniería Informática y Física del Instituto Tecnológico de Massachusetts."
